gen	nevals	avg                            	std                            	min                	max                
164	179   	[  0.89653333 762.86666667]    	[5.65669122e-02 7.18153806e+01]	[  0.685 570.   ]  	[  0.975 925.   ]  
165	174   	[  0.90546667 769.15      ]    	[5.30089510e-02 6.95511383e+01]	[  0.73 560.  ]    	[  0.975 925.   ]  
166	167   	[  0.90085    765.31666667]    	[5.75053113e-02 6.69749933e+01]	[  0.605 560.   ]  	[  0.975 925.   ]  
167	174   	[  0.90755 766.4    ]          	[5.34313968e-02 6.87389264e+01]	[  0.71 540.  ]    	[  0.97 930.  ]    
168	201   	[  0.90476667 756.85      ]    	[5.47321863e-02 6.67669641e+01]	[  0.71 560.  ]    	[  0.97 920.  ]    
169	168   	[  0.90423333 754.18333333]    	[5.25618260e-02 6.47501587e+01]	[  0.735 560.   ]  	[  0.97 920.  ]    
170	174   	[  0.90023333 748.15      ]    	[5.46499060e-02 6.86233257e+01]	[  0.74 545.  ]    	[  0.97 920.  ]    
171	181   	[  0.90265    759.23333333]    	[5.53644967e-02 6.67788306e+01]	[  0.68 530.  ]    	[  0.97 920.  ]    
172	189   	[  0.89823333 757.35      ]    	[5.76993260e-02 7.22199938e+01]	[  0.7 570. ]      	[  0.97 930.  ]    
173	164   	[  0.90485    768.31666667]    	[5.98753775e-02 7.06039403e+01]	[  0.655 495.   ]  	[  0.97 930.  ]    
174	183   	[  0.9036 765.4   ]            	[5.75705943e-02 7.26349778e+01]	[  0.685 515.   ]  	[  0.97 930.  ]    
175	178   	[  0.9039     767.71666667]    	[5.73363468e-02 6.72002211e+01]	[  0.66 590.  ]    	[  0.97 930.  ]    
176	165   	[  0.90696667 768.8       ]    	[5.74975265e-02 6.77413709e+01]	[  0.7 580. ]      	[  0.97 930.  ]    
177	187   	[  0.9149     774.48333333]    	[5.26354443e-02 6.83165406e+01]	[  0.76 515.  ]    	[  0.97 930.  ]    
178	171   	[  0.9144 770.65  ]            	[5.41230696e-02 6.90832409e+01]	[  0.73 575.  ]    	[  0.97 930.  ]    
179	167   	[  0.91476667 773.96666667]    	[5.65282722e-02 6.95959689e+01]	[  0.715 580.   ]  	[  0.97 930.  ]    
180	181   	[  0.90921667 765.15      ]    	[5.84748070e-02 6.57550568e+01]	[  0.695 590.   ]  	[  0.97 930.  ]    
181	182   	[  0.90873333 768.33333333]    	[6.02140257e-02 6.62851584e+01]	[  0.7 590. ]      	[  0.97 930.  ]    
182	165   	[  0.914 774.15 ]              	[5.80502656e-02 6.67160213e+01]	[  0.725 595.   ]  	[  0.97 930.  ]    
183	174   	[  0.90683333 768.23333333]    	[6.58291138e-02 7.41712808e+01]	[  0.645 560.   ]  	[  0.97 950.  ]    
184	171   	[  0.90921667 768.83333333]    	[5.74903156e-02 6.52020364e+01]	[  0.68 595.  ]    	[  0.97 930.  ]    
185	167   	[  0.91436667 769.46666667]    	[5.55466671e-02 6.44169922e+01]	[  0.675 520.   ]  	[  0.97 930.  ]    
186	186   	[  0.90831667 756.43333333]    	[5.80452386e-02 6.77405262e+01]	[  0.615 560.   ]  	[  0.97 935.  ]    
187	181   	[  0.90666667 758.91666667]    	[5.89057628e-02 6.38324086e+01]	[  0.665 560.   ]  	[  0.97 915.  ]    
188	168   	[  0.91091667 759.95      ]    	[5.51716387e-02 6.86579505e+01]	[  0.68 550.  ]    	[  0.97 925.  ]    
189	175   	[  0.91105 759.     ]          	[5.36514756e-02 6.03848767e+01]	[  0.685 530.   ]  	[  0.97 925.  ]    
190	176   	[  0.91076667 756.18333333]    	[5.20087706e-02 6.60644866e+01]	[  0.73 560.  ]    	[  0.97 925.  ]    
